group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 00,Task 1 - Rust Template,,,,36164664.0,ns,3769
Day 00,Task 1 - Rust Template,,,,72040603.0,ns,7538
Day 00,Task 1 - Rust Template,,,,113316931.0,ns,11307
Day 00,Task 1 - Rust Template,,,,143785942.0,ns,15076
Day 00,Task 1 - Rust Template,,,,180407610.0,ns,18845
Day 00,Task 1 - Rust Template,,,,216190079.0,ns,22614
Day 00,Task 1 - Rust Template,,,,251851737.0,ns,26383
Day 00,Task 1 - Rust Template,,,,288225595.0,ns,30152
Day 00,Task 1 - Rust Template,,,,324052241.0,ns,33921
Day 00,Task 1 - Rust Template,,,,360256241.0,ns,37690
