group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 00,Task 1 - Rust Template,,,,35861706.0,ns,3818
Day 00,Task 1 - Rust Template,,,,73132274.0,ns,7636
Day 00,Task 1 - Rust Template,,,,109014948.0,ns,11454
Day 00,Task 1 - Rust Template,,,,144845780.0,ns,15272
Day 00,Task 1 - Rust Template,,,,181432831.0,ns,19090
Day 00,Task 1 - Rust Template,,,,220836622.0,ns,22908
Day 00,Task 1 - Rust Template,,,,253405246.0,ns,26726
Day 00,Task 1 - Rust Template,,,,288615175.0,ns,30544
Day 00,Task 1 - Rust Template,,,,325777270.0,ns,34362
Day 00,Task 1 - Rust Template,,,,361032220.0,ns,38180
