group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 02,Task 1 - Distance and depth,,,,36663502.0,ns,253
Day 02,Task 1 - Distance and depth,,,,72526202.0,ns,506
Day 02,Task 1 - Distance and depth,,,,108989032.0,ns,759
Day 02,Task 1 - Distance and depth,,,,145066814.0,ns,1012
Day 02,Task 1 - Distance and depth,,,,181097318.0,ns,1265
Day 02,Task 1 - Distance and depth,,,,217871466.0,ns,1518
Day 02,Task 1 - Distance and depth,,,,256600866.0,ns,1771
Day 02,Task 1 - Distance and depth,,,,295168117.0,ns,2024
Day 02,Task 1 - Distance and depth,,,,333653847.0,ns,2277
Day 02,Task 1 - Distance and depth,,,,363573981.0,ns,2530
