group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 02,Task 2 - Distance and depth with aim,,,,39950009.0,ns,258
Day 02,Task 2 - Distance and depth with aim,,,,71538539.0,ns,516
Day 02,Task 2 - Distance and depth with aim,,,,107860442.0,ns,774
Day 02,Task 2 - Distance and depth with aim,,,,145481463.0,ns,1032
Day 02,Task 2 - Distance and depth with aim,,,,179476294.0,ns,1290
Day 02,Task 2 - Distance and depth with aim,,,,214573149.0,ns,1548
Day 02,Task 2 - Distance and depth with aim,,,,250668752.0,ns,1806
Day 02,Task 2 - Distance and depth with aim,,,,290625351.0,ns,2064
Day 02,Task 2 - Distance and depth with aim,,,,322728190.0,ns,2322
Day 02,Task 2 - Distance and depth with aim,,,,357603025.0,ns,2580
