group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 02,Task 2 - Distance and depth with aim,,,,3265475.0,ns,23
Day 02,Task 2 - Distance and depth with aim,,,,6303149.0,ns,46
Day 02,Task 2 - Distance and depth with aim,,,,9795501.0,ns,69
Day 02,Task 2 - Distance and depth with aim,,,,12883417.0,ns,92
Day 02,Task 2 - Distance and depth with aim,,,,15931524.0,ns,115
Day 02,Task 2 - Distance and depth with aim,,,,18797875.0,ns,138
Day 02,Task 2 - Distance and depth with aim,,,,22884164.0,ns,161
Day 02,Task 2 - Distance and depth with aim,,,,25073165.0,ns,184
Day 02,Task 2 - Distance and depth with aim,,,,28385350.0,ns,207
Day 02,Task 2 - Distance and depth with aim,,,,31814094.0,ns,230
Day 02,Task 2 - Distance and depth with aim,,,,35170062.0,ns,253
Day 02,Task 2 - Distance and depth with aim,,,,37917516.0,ns,276
Day 02,Task 2 - Distance and depth with aim,,,,40743158.0,ns,299
Day 02,Task 2 - Distance and depth with aim,,,,44255278.0,ns,322
Day 02,Task 2 - Distance and depth with aim,,,,47547950.0,ns,345
Day 02,Task 2 - Distance and depth with aim,,,,50646152.0,ns,368
Day 02,Task 2 - Distance and depth with aim,,,,53373397.0,ns,391
Day 02,Task 2 - Distance and depth with aim,,,,56695357.0,ns,414
Day 02,Task 2 - Distance and depth with aim,,,,59822295.0,ns,437
Day 02,Task 2 - Distance and depth with aim,,,,63175302.0,ns,460
Day 02,Task 2 - Distance and depth with aim,,,,66145153.0,ns,483
Day 02,Task 2 - Distance and depth with aim,,,,69621406.0,ns,506
Day 02,Task 2 - Distance and depth with aim,,,,72928204.0,ns,529
Day 02,Task 2 - Distance and depth with aim,,,,75360003.0,ns,552
Day 02,Task 2 - Distance and depth with aim,,,,79421350.0,ns,575
Day 02,Task 2 - Distance and depth with aim,,,,81800321.0,ns,598
Day 02,Task 2 - Distance and depth with aim,,,,85782602.0,ns,621
Day 02,Task 2 - Distance and depth with aim,,,,88311795.0,ns,644
Day 02,Task 2 - Distance and depth with aim,,,,91608529.0,ns,667
Day 02,Task 2 - Distance and depth with aim,,,,94638327.0,ns,690
Day 02,Task 2 - Distance and depth with aim,,,,97767182.0,ns,713
Day 02,Task 2 - Distance and depth with aim,,,,101158288.0,ns,736
Day 02,Task 2 - Distance and depth with aim,,,,104644126.0,ns,759
Day 02,Task 2 - Distance and depth with aim,,,,107191907.0,ns,782
Day 02,Task 2 - Distance and depth with aim,,,,110746058.0,ns,805
Day 02,Task 2 - Distance and depth with aim,,,,114207683.0,ns,828
Day 02,Task 2 - Distance and depth with aim,,,,117349385.0,ns,851
Day 02,Task 2 - Distance and depth with aim,,,,119558875.0,ns,874
Day 02,Task 2 - Distance and depth with aim,,,,123746560.0,ns,897
Day 02,Task 2 - Distance and depth with aim,,,,126859949.0,ns,920
Day 02,Task 2 - Distance and depth with aim,,,,129160644.0,ns,943
Day 02,Task 2 - Distance and depth with aim,,,,132670471.0,ns,966
Day 02,Task 2 - Distance and depth with aim,,,,138883326.0,ns,989
Day 02,Task 2 - Distance and depth with aim,,,,138928403.0,ns,1012
Day 02,Task 2 - Distance and depth with aim,,,,142524371.0,ns,1035
Day 02,Task 2 - Distance and depth with aim,,,,146150901.0,ns,1058
Day 02,Task 2 - Distance and depth with aim,,,,148932207.0,ns,1081
Day 02,Task 2 - Distance and depth with aim,,,,151644252.0,ns,1104
Day 02,Task 2 - Distance and depth with aim,,,,154661509.0,ns,1127
Day 02,Task 2 - Distance and depth with aim,,,,158020487.0,ns,1150
