group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 03,Task 1 - Power consumption,,,,36208976.0,ns,159
Day 03,Task 1 - Power consumption,,,,72943993.0,ns,318
Day 03,Task 1 - Power consumption,,,,109009332.0,ns,477
Day 03,Task 1 - Power consumption,,,,145519918.0,ns,636
Day 03,Task 1 - Power consumption,,,,182201926.0,ns,795
Day 03,Task 1 - Power consumption,,,,219941624.0,ns,954
Day 03,Task 1 - Power consumption,,,,254925988.0,ns,1113
Day 03,Task 1 - Power consumption,,,,290157426.0,ns,1272
Day 03,Task 1 - Power consumption,,,,326940430.0,ns,1431
Day 03,Task 1 - Power consumption,,,,363288831.0,ns,1590
