group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 03,Task 2 - Life support rating,,,,36768654.0,ns,92
Day 03,Task 2 - Life support rating,,,,72824335.0,ns,184
Day 03,Task 2 - Life support rating,,,,109598497.0,ns,276
Day 03,Task 2 - Life support rating,,,,145750256.0,ns,368
Day 03,Task 2 - Life support rating,,,,182771652.0,ns,460
Day 03,Task 2 - Life support rating,,,,219044668.0,ns,552
Day 03,Task 2 - Life support rating,,,,258739352.0,ns,644
Day 03,Task 2 - Life support rating,,,,293832283.0,ns,736
Day 03,Task 2 - Life support rating,,,,327929390.0,ns,828
Day 03,Task 2 - Life support rating,,,,364788742.0,ns,920
