group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 03,Task 2 - Life support rating,,,,36301478.0,ns,87
Day 03,Task 2 - Life support rating,,,,91442936.0,ns,174
Day 03,Task 2 - Life support rating,,,,107797445.0,ns,261
Day 03,Task 2 - Life support rating,,,,143449931.0,ns,348
Day 03,Task 2 - Life support rating,,,,192966748.0,ns,435
Day 03,Task 2 - Life support rating,,,,229262144.0,ns,522
Day 03,Task 2 - Life support rating,,,,342307158.0,ns,609
Day 03,Task 2 - Life support rating,,,,340078168.0,ns,696
Day 03,Task 2 - Life support rating,,,,359224612.0,ns,783
Day 03,Task 2 - Life support rating,,,,512549752.0,ns,870
