group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 04,Task 1 - First winning bingo board,,,,33132030.0,ns,165
Day 04,Task 1 - First winning bingo board,,,,68727825.0,ns,330
Day 04,Task 1 - First winning bingo board,,,,192454628.0,ns,495
Day 04,Task 1 - First winning bingo board,,,,136182211.0,ns,660
Day 04,Task 1 - First winning bingo board,,,,169406633.0,ns,825
Day 04,Task 1 - First winning bingo board,,,,200801918.0,ns,990
Day 04,Task 1 - First winning bingo board,,,,236155778.0,ns,1155
Day 04,Task 1 - First winning bingo board,,,,286437132.0,ns,1320
Day 04,Task 1 - First winning bingo board,,,,306823528.0,ns,1485
Day 04,Task 1 - First winning bingo board,,,,346583164.0,ns,1650
