group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 04,Task 2 - Last winning bingo board,,,,27322563.0,ns,70
Day 04,Task 2 - Last winning bingo board,,,,56987148.0,ns,140
Day 04,Task 2 - Last winning bingo board,,,,82232015.0,ns,210
Day 04,Task 2 - Last winning bingo board,,,,110141091.0,ns,280
Day 04,Task 2 - Last winning bingo board,,,,139686271.0,ns,350
Day 04,Task 2 - Last winning bingo board,,,,167110700.0,ns,420
Day 04,Task 2 - Last winning bingo board,,,,193234102.0,ns,490
Day 04,Task 2 - Last winning bingo board,,,,222016292.0,ns,560
Day 04,Task 2 - Last winning bingo board,,,,255479845.0,ns,630
Day 04,Task 2 - Last winning bingo board,,,,291832140.0,ns,700
