group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 04,Task 2 - Last winning bingo board,,,,36639464.0,ns,96
Day 04,Task 2 - Last winning bingo board,,,,73868845.0,ns,192
Day 04,Task 2 - Last winning bingo board,,,,109337452.0,ns,288
Day 04,Task 2 - Last winning bingo board,,,,146512469.0,ns,384
Day 04,Task 2 - Last winning bingo board,,,,183301680.0,ns,480
Day 04,Task 2 - Last winning bingo board,,,,219494778.0,ns,576
Day 04,Task 2 - Last winning bingo board,,,,255748923.0,ns,672
Day 04,Task 2 - Last winning bingo board,,,,293267616.0,ns,768
Day 04,Task 2 - Last winning bingo board,,,,329128710.0,ns,864
Day 04,Task 2 - Last winning bingo board,,,,365356740.0,ns,960
