group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 05,Task 1 - Horizontal and vertical vents,,,,37442455.0,ns,5
Day 05,Task 1 - Horizontal and vertical vents,,,,74800425.0,ns,10
Day 05,Task 1 - Horizontal and vertical vents,,,,112221483.0,ns,15
Day 05,Task 1 - Horizontal and vertical vents,,,,149829275.0,ns,20
Day 05,Task 1 - Horizontal and vertical vents,,,,187602244.0,ns,25
Day 05,Task 1 - Horizontal and vertical vents,,,,224797904.0,ns,30
Day 05,Task 1 - Horizontal and vertical vents,,,,263775301.0,ns,35
Day 05,Task 1 - Horizontal and vertical vents,,,,300652347.0,ns,40
Day 05,Task 1 - Horizontal and vertical vents,,,,342425267.0,ns,45
Day 05,Task 1 - Horizontal and vertical vents,,,,379544387.0,ns,50
