group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 05,Task 1 - Horizontal and vertical vents,,,,39326930.0,ns,5
Day 05,Task 1 - Horizontal and vertical vents,,,,77977430.0,ns,10
Day 05,Task 1 - Horizontal and vertical vents,,,,117282485.0,ns,15
Day 05,Task 1 - Horizontal and vertical vents,,,,162071511.0,ns,20
Day 05,Task 1 - Horizontal and vertical vents,,,,197963574.0,ns,25
Day 05,Task 1 - Horizontal and vertical vents,,,,234105801.0,ns,30
Day 05,Task 1 - Horizontal and vertical vents,,,,275526676.0,ns,35
Day 05,Task 1 - Horizontal and vertical vents,,,,329252418.0,ns,40
Day 05,Task 1 - Horizontal and vertical vents,,,,372451189.0,ns,45
Day 05,Task 1 - Horizontal and vertical vents,,,,407275757.0,ns,50
