group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 05,Task 2 - All vents,,,,90131831.0,ns,6
Day 05,Task 2 - All vents,,,,89189238.0,ns,6
Day 05,Task 2 - All vents,,,,89245304.0,ns,6
Day 05,Task 2 - All vents,,,,89475151.0,ns,6
Day 05,Task 2 - All vents,,,,89776621.0,ns,6
Day 05,Task 2 - All vents,,,,89432931.0,ns,6
Day 05,Task 2 - All vents,,,,89332525.0,ns,6
Day 05,Task 2 - All vents,,,,89352677.0,ns,6
Day 05,Task 2 - All vents,,,,89009764.0,ns,6
Day 05,Task 2 - All vents,,,,89958289.0,ns,6
Day 05,Task 2 - All vents,,,,90353147.0,ns,6
Day 05,Task 2 - All vents,,,,89980100.0,ns,6
Day 05,Task 2 - All vents,,,,89199735.0,ns,6
Day 05,Task 2 - All vents,,,,89102391.0,ns,6
Day 05,Task 2 - All vents,,,,89524555.0,ns,6
Day 05,Task 2 - All vents,,,,89973149.0,ns,6
Day 05,Task 2 - All vents,,,,89464029.0,ns,6
Day 05,Task 2 - All vents,,,,89159471.0,ns,6
Day 05,Task 2 - All vents,,,,90342036.0,ns,6
Day 05,Task 2 - All vents,,,,89681499.0,ns,6
Day 05,Task 2 - All vents,,,,90172050.0,ns,6
Day 05,Task 2 - All vents,,,,90539965.0,ns,6
Day 05,Task 2 - All vents,,,,89049168.0,ns,6
Day 05,Task 2 - All vents,,,,89928972.0,ns,6
Day 05,Task 2 - All vents,,,,92758133.0,ns,6
Day 05,Task 2 - All vents,,,,91808166.0,ns,6
Day 05,Task 2 - All vents,,,,89731670.0,ns,6
Day 05,Task 2 - All vents,,,,90186032.0,ns,6
Day 05,Task 2 - All vents,,,,89880009.0,ns,6
Day 05,Task 2 - All vents,,,,89755222.0,ns,6
Day 05,Task 2 - All vents,,,,90553336.0,ns,6
Day 05,Task 2 - All vents,,,,90681970.0,ns,6
Day 05,Task 2 - All vents,,,,92486589.0,ns,6
Day 05,Task 2 - All vents,,,,89422705.0,ns,6
Day 05,Task 2 - All vents,,,,90134825.0,ns,6
Day 05,Task 2 - All vents,,,,89251371.0,ns,6
Day 05,Task 2 - All vents,,,,98391162.0,ns,6
Day 05,Task 2 - All vents,,,,96942973.0,ns,6
Day 05,Task 2 - All vents,,,,94370097.0,ns,6
Day 05,Task 2 - All vents,,,,90017543.0,ns,6
Day 05,Task 2 - All vents,,,,90756473.0,ns,6
Day 05,Task 2 - All vents,,,,89757286.0,ns,6
Day 05,Task 2 - All vents,,,,90036046.0,ns,6
Day 05,Task 2 - All vents,,,,89824772.0,ns,6
Day 05,Task 2 - All vents,,,,90082978.0,ns,6
Day 05,Task 2 - All vents,,,,89159253.0,ns,6
Day 05,Task 2 - All vents,,,,92016291.0,ns,6
Day 05,Task 2 - All vents,,,,90069424.0,ns,6
Day 05,Task 2 - All vents,,,,89442012.0,ns,6
Day 05,Task 2 - All vents,,,,90381441.0,ns,6
