group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 05,Task 2 - All vents,,,,32220374.0,ns,2
Day 05,Task 2 - All vents,,,,64485865.0,ns,4
Day 05,Task 2 - All vents,,,,97085102.0,ns,6
Day 05,Task 2 - All vents,,,,125937672.0,ns,8
Day 05,Task 2 - All vents,,,,158616337.0,ns,10
Day 05,Task 2 - All vents,,,,284825692.0,ns,12
Day 05,Task 2 - All vents,,,,229574135.0,ns,14
Day 05,Task 2 - All vents,,,,258596600.0,ns,16
Day 05,Task 2 - All vents,,,,287808873.0,ns,18
Day 05,Task 2 - All vents,,,,320962179.0,ns,20
