group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 06,Task 1 - Lanternfish population after 80 days,,,,33506972.0,ns,1606
Day 06,Task 1 - Lanternfish population after 80 days,,,,72578638.0,ns,3212
Day 06,Task 1 - Lanternfish population after 80 days,,,,105886899.0,ns,4818
Day 06,Task 1 - Lanternfish population after 80 days,,,,189981117.0,ns,6424
Day 06,Task 1 - Lanternfish population after 80 days,,,,237518981.0,ns,8030
Day 06,Task 1 - Lanternfish population after 80 days,,,,220915232.0,ns,9636
Day 06,Task 1 - Lanternfish population after 80 days,,,,243110048.0,ns,11242
Day 06,Task 1 - Lanternfish population after 80 days,,,,377460014.0,ns,12848
Day 06,Task 1 - Lanternfish population after 80 days,,,,332859058.0,ns,14454
Day 06,Task 1 - Lanternfish population after 80 days,,,,352210950.0,ns,16060
