group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,36693373.0,ns,572
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,74194093.0,ns,1144
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,108650939.0,ns,1716
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,145423907.0,ns,2288
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,180906353.0,ns,2860
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,218607760.0,ns,3432
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,253136916.0,ns,4004
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,290358223.0,ns,4576
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,327062157.0,ns,5148
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,362832689.0,ns,5720
