group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,36022783.0,ns,554
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,72819863.0,ns,1108
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,108096816.0,ns,1662
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,144559541.0,ns,2216
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,198524537.0,ns,2770
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,222263842.0,ns,3324
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,254746356.0,ns,3878
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,288778087.0,ns,4432
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,326914479.0,ns,4986
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,364059261.0,ns,5540
