group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,3148034.0,ns,87
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,6254937.0,ns,174
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,9424085.0,ns,261
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,13607634.0,ns,348
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,15724858.0,ns,435
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,18967555.0,ns,522
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,22180656.0,ns,609
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,25242642.0,ns,696
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,28881385.0,ns,783
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,31417178.0,ns,870
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,34591572.0,ns,957
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,38160226.0,ns,1044
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,40839009.0,ns,1131
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,44111802.0,ns,1218
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,47467719.0,ns,1305
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,50609923.0,ns,1392
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,53591966.0,ns,1479
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,56523812.0,ns,1566
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,59770541.0,ns,1653
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,63326891.0,ns,1740
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,66150731.0,ns,1827
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,69220579.0,ns,1914
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,73066325.0,ns,2001
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,76293849.0,ns,2088
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,78801493.0,ns,2175
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,81823580.0,ns,2262
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,85478680.0,ns,2349
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,88218215.0,ns,2436
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,91275107.0,ns,2523
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,94349684.0,ns,2610
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,97716124.0,ns,2697
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,100911717.0,ns,2784
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,105125028.0,ns,2871
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,108829944.0,ns,2958
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,110390197.0,ns,3045
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,113430807.0,ns,3132
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,118667273.0,ns,3219
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,120230481.0,ns,3306
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,122763019.0,ns,3393
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,125880006.0,ns,3480
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,129320491.0,ns,3567
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,132744457.0,ns,3654
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,135744759.0,ns,3741
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,145178812.0,ns,3828
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,151932249.0,ns,3915
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,149046356.0,ns,4002
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,147840122.0,ns,4089
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,151392631.0,ns,4176
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,154728872.0,ns,4263
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,157591390.0,ns,4350
