group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,36368887.0,ns,1000
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,72338776.0,ns,2000
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,108867573.0,ns,3000
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,145336132.0,ns,4000
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,181408954.0,ns,5000
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,218164796.0,ns,6000
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,255292998.0,ns,7000
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,289520844.0,ns,8000
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,328325509.0,ns,9000
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,363491876.0,ns,10000
