group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,36172415.0,ns,47
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,72345479.0,ns,94
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,108493545.0,ns,141
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,157827508.0,ns,188
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,188174078.0,ns,235
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,225865502.0,ns,282
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,252991810.0,ns,329
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,289696133.0,ns,376
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,328095537.0,ns,423
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,363129748.0,ns,470
