group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,36420841.0,ns,47
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,72108150.0,ns,94
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,108290728.0,ns,141
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,146099714.0,ns,188
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,181139874.0,ns,235
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,215953998.0,ns,282
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,253141822.0,ns,329
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,288182637.0,ns,376
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,325484669.0,ns,423
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,361298282.0,ns,470
