group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 10,Task 1 - Error score,,,,36966070.0,ns,251
Day 10,Task 1 - Error score,,,,72726565.0,ns,502
Day 10,Task 1 - Error score,,,,108743324.0,ns,753
Day 10,Task 1 - Error score,,,,147037466.0,ns,1004
Day 10,Task 1 - Error score,,,,181730839.0,ns,1255
Day 10,Task 1 - Error score,,,,221007640.0,ns,1506
Day 10,Task 1 - Error score,,,,255021468.0,ns,1757
Day 10,Task 1 - Error score,,,,290288551.0,ns,2008
Day 10,Task 1 - Error score,,,,334038343.0,ns,2259
Day 10,Task 1 - Error score,,,,375892108.0,ns,2510
