group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 10,Task 2 - Completion score,,,,37181457.0,ns,211
Day 10,Task 2 - Completion score,,,,70893046.0,ns,422
Day 10,Task 2 - Completion score,,,,106066562.0,ns,633
Day 10,Task 2 - Completion score,,,,141648663.0,ns,844
Day 10,Task 2 - Completion score,,,,177221805.0,ns,1055
Day 10,Task 2 - Completion score,,,,212583036.0,ns,1266
Day 10,Task 2 - Completion score,,,,248405260.0,ns,1477
Day 10,Task 2 - Completion score,,,,284250855.0,ns,1688
Day 10,Task 2 - Completion score,,,,328943758.0,ns,1899
Day 10,Task 2 - Completion score,,,,358758601.0,ns,2110
