group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 10,Task 2 - Completion score,,,,36480418.0,ns,219
Day 10,Task 2 - Completion score,,,,73283896.0,ns,438
Day 10,Task 2 - Completion score,,,,109451793.0,ns,657
Day 10,Task 2 - Completion score,,,,145061018.0,ns,876
Day 10,Task 2 - Completion score,,,,184310655.0,ns,1095
Day 10,Task 2 - Completion score,,,,218341109.0,ns,1314
Day 10,Task 2 - Completion score,,,,255431457.0,ns,1533
Day 10,Task 2 - Completion score,,,,290293455.0,ns,1752
Day 10,Task 2 - Completion score,,,,343505724.0,ns,1971
Day 10,Task 2 - Completion score,,,,369702804.0,ns,2190
