group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 11,Task 1 - Amount of flashes after 100 steps,,,,3280367.0,ns,3
Day 11,Task 1 - Amount of flashes after 100 steps,,,,6489410.0,ns,6
Day 11,Task 1 - Amount of flashes after 100 steps,,,,9885311.0,ns,9
Day 11,Task 1 - Amount of flashes after 100 steps,,,,13166583.0,ns,12
Day 11,Task 1 - Amount of flashes after 100 steps,,,,16362879.0,ns,15
Day 11,Task 1 - Amount of flashes after 100 steps,,,,19518274.0,ns,18
Day 11,Task 1 - Amount of flashes after 100 steps,,,,22698505.0,ns,21
Day 11,Task 1 - Amount of flashes after 100 steps,,,,26969452.0,ns,24
Day 11,Task 1 - Amount of flashes after 100 steps,,,,29140889.0,ns,27
Day 11,Task 1 - Amount of flashes after 100 steps,,,,32559189.0,ns,30
Day 11,Task 1 - Amount of flashes after 100 steps,,,,35837476.0,ns,33
Day 11,Task 1 - Amount of flashes after 100 steps,,,,39022400.0,ns,36
Day 11,Task 1 - Amount of flashes after 100 steps,,,,42618506.0,ns,39
Day 11,Task 1 - Amount of flashes after 100 steps,,,,45559072.0,ns,42
Day 11,Task 1 - Amount of flashes after 100 steps,,,,48829172.0,ns,45
Day 11,Task 1 - Amount of flashes after 100 steps,,,,52035479.0,ns,48
Day 11,Task 1 - Amount of flashes after 100 steps,,,,55518315.0,ns,51
Day 11,Task 1 - Amount of flashes after 100 steps,,,,58912737.0,ns,54
Day 11,Task 1 - Amount of flashes after 100 steps,,,,61905931.0,ns,57
Day 11,Task 1 - Amount of flashes after 100 steps,,,,68833798.0,ns,60
Day 11,Task 1 - Amount of flashes after 100 steps,,,,68462379.0,ns,63
Day 11,Task 1 - Amount of flashes after 100 steps,,,,71687061.0,ns,66
Day 11,Task 1 - Amount of flashes after 100 steps,,,,74740278.0,ns,69
Day 11,Task 1 - Amount of flashes after 100 steps,,,,78690795.0,ns,72
Day 11,Task 1 - Amount of flashes after 100 steps,,,,81792545.0,ns,75
Day 11,Task 1 - Amount of flashes after 100 steps,,,,85356107.0,ns,78
Day 11,Task 1 - Amount of flashes after 100 steps,,,,87997895.0,ns,81
Day 11,Task 1 - Amount of flashes after 100 steps,,,,90821398.0,ns,84
Day 11,Task 1 - Amount of flashes after 100 steps,,,,94708897.0,ns,87
Day 11,Task 1 - Amount of flashes after 100 steps,,,,97592362.0,ns,90
Day 11,Task 1 - Amount of flashes after 100 steps,,,,101089082.0,ns,93
Day 11,Task 1 - Amount of flashes after 100 steps,,,,103956117.0,ns,96
Day 11,Task 1 - Amount of flashes after 100 steps,,,,107452853.0,ns,99
Day 11,Task 1 - Amount of flashes after 100 steps,,,,110692965.0,ns,102
Day 11,Task 1 - Amount of flashes after 100 steps,,,,114026934.0,ns,105
Day 11,Task 1 - Amount of flashes after 100 steps,,,,119270777.0,ns,108
Day 11,Task 1 - Amount of flashes after 100 steps,,,,121174902.0,ns,111
Day 11,Task 1 - Amount of flashes after 100 steps,,,,123510753.0,ns,114
Day 11,Task 1 - Amount of flashes after 100 steps,,,,127269069.0,ns,117
Day 11,Task 1 - Amount of flashes after 100 steps,,,,130352696.0,ns,120
Day 11,Task 1 - Amount of flashes after 100 steps,,,,133187387.0,ns,123
Day 11,Task 1 - Amount of flashes after 100 steps,,,,138220000.0,ns,126
Day 11,Task 1 - Amount of flashes after 100 steps,,,,140224292.0,ns,129
Day 11,Task 1 - Amount of flashes after 100 steps,,,,143326255.0,ns,132
Day 11,Task 1 - Amount of flashes after 100 steps,,,,146351274.0,ns,135
Day 11,Task 1 - Amount of flashes after 100 steps,,,,149442746.0,ns,138
Day 11,Task 1 - Amount of flashes after 100 steps,,,,153200100.0,ns,141
Day 11,Task 1 - Amount of flashes after 100 steps,,,,156233357.0,ns,144
Day 11,Task 1 - Amount of flashes after 100 steps,,,,159814806.0,ns,147
Day 11,Task 1 - Amount of flashes after 100 steps,,,,162797915.0,ns,150
