group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 11,Task 2 - Amount of steps until synchronization,,,,5297990.0,ns,2
Day 11,Task 2 - Amount of steps until synchronization,,,,10549867.0,ns,4
Day 11,Task 2 - Amount of steps until synchronization,,,,15909984.0,ns,6
Day 11,Task 2 - Amount of steps until synchronization,,,,21083508.0,ns,8
Day 11,Task 2 - Amount of steps until synchronization,,,,26359785.0,ns,10
Day 11,Task 2 - Amount of steps until synchronization,,,,31638516.0,ns,12
Day 11,Task 2 - Amount of steps until synchronization,,,,36866020.0,ns,14
Day 11,Task 2 - Amount of steps until synchronization,,,,42290548.0,ns,16
Day 11,Task 2 - Amount of steps until synchronization,,,,47578822.0,ns,18
Day 11,Task 2 - Amount of steps until synchronization,,,,53219812.0,ns,20
Day 11,Task 2 - Amount of steps until synchronization,,,,58203657.0,ns,22
Day 11,Task 2 - Amount of steps until synchronization,,,,64838644.0,ns,24
Day 11,Task 2 - Amount of steps until synchronization,,,,69038004.0,ns,26
Day 11,Task 2 - Amount of steps until synchronization,,,,73990173.0,ns,28
Day 11,Task 2 - Amount of steps until synchronization,,,,79208806.0,ns,30
Day 11,Task 2 - Amount of steps until synchronization,,,,84523687.0,ns,32
Day 11,Task 2 - Amount of steps until synchronization,,,,89760718.0,ns,34
Day 11,Task 2 - Amount of steps until synchronization,,,,95598939.0,ns,36
Day 11,Task 2 - Amount of steps until synchronization,,,,100680551.0,ns,38
Day 11,Task 2 - Amount of steps until synchronization,,,,105618956.0,ns,40
Day 11,Task 2 - Amount of steps until synchronization,,,,110857037.0,ns,42
Day 11,Task 2 - Amount of steps until synchronization,,,,116338654.0,ns,44
Day 11,Task 2 - Amount of steps until synchronization,,,,121890939.0,ns,46
Day 11,Task 2 - Amount of steps until synchronization,,,,126780497.0,ns,48
Day 11,Task 2 - Amount of steps until synchronization,,,,133479315.0,ns,50
Day 11,Task 2 - Amount of steps until synchronization,,,,137536488.0,ns,52
Day 11,Task 2 - Amount of steps until synchronization,,,,142937731.0,ns,54
Day 11,Task 2 - Amount of steps until synchronization,,,,148670177.0,ns,56
Day 11,Task 2 - Amount of steps until synchronization,,,,153041947.0,ns,58
Day 11,Task 2 - Amount of steps until synchronization,,,,158981931.0,ns,60
Day 11,Task 2 - Amount of steps until synchronization,,,,164664714.0,ns,62
Day 11,Task 2 - Amount of steps until synchronization,,,,170159676.0,ns,64
Day 11,Task 2 - Amount of steps until synchronization,,,,174364295.0,ns,66
Day 11,Task 2 - Amount of steps until synchronization,,,,181917733.0,ns,68
Day 11,Task 2 - Amount of steps until synchronization,,,,184840708.0,ns,70
Day 11,Task 2 - Amount of steps until synchronization,,,,191481269.0,ns,72
Day 11,Task 2 - Amount of steps until synchronization,,,,196006609.0,ns,74
Day 11,Task 2 - Amount of steps until synchronization,,,,200734185.0,ns,76
Day 11,Task 2 - Amount of steps until synchronization,,,,213665172.0,ns,78
Day 11,Task 2 - Amount of steps until synchronization,,,,222215938.0,ns,80
Day 11,Task 2 - Amount of steps until synchronization,,,,218533521.0,ns,82
Day 11,Task 2 - Amount of steps until synchronization,,,,221712590.0,ns,84
Day 11,Task 2 - Amount of steps until synchronization,,,,227116427.0,ns,86
Day 11,Task 2 - Amount of steps until synchronization,,,,233520820.0,ns,88
Day 11,Task 2 - Amount of steps until synchronization,,,,239166488.0,ns,90
Day 11,Task 2 - Amount of steps until synchronization,,,,243851750.0,ns,92
Day 11,Task 2 - Amount of steps until synchronization,,,,247988478.0,ns,94
Day 11,Task 2 - Amount of steps until synchronization,,,,253823490.0,ns,96
Day 11,Task 2 - Amount of steps until synchronization,,,,259011983.0,ns,98
Day 11,Task 2 - Amount of steps until synchronization,,,,264092925.0,ns,100
