group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 11,Task 2 - Amount of steps until synchronization,,,,37091268.0,ns,14
Day 11,Task 2 - Amount of steps until synchronization,,,,74862799.0,ns,28
Day 11,Task 2 - Amount of steps until synchronization,,,,111587648.0,ns,42
Day 11,Task 2 - Amount of steps until synchronization,,,,148965937.0,ns,56
Day 11,Task 2 - Amount of steps until synchronization,,,,186024447.0,ns,70
Day 11,Task 2 - Amount of steps until synchronization,,,,223524918.0,ns,84
Day 11,Task 2 - Amount of steps until synchronization,,,,263204702.0,ns,98
Day 11,Task 2 - Amount of steps until synchronization,,,,303675322.0,ns,112
Day 11,Task 2 - Amount of steps until synchronization,,,,335317138.0,ns,126
Day 11,Task 2 - Amount of steps until synchronization,,,,372051690.0,ns,140
