group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 12,Task 1 - Amount of paths,,,,22121124.0,ns,4
Day 12,Task 1 - Amount of paths,,,,43950538.0,ns,8
Day 12,Task 1 - Amount of paths,,,,65896074.0,ns,12
Day 12,Task 1 - Amount of paths,,,,87974482.0,ns,16
Day 12,Task 1 - Amount of paths,,,,109683178.0,ns,20
Day 12,Task 1 - Amount of paths,,,,131927367.0,ns,24
Day 12,Task 1 - Amount of paths,,,,155044097.0,ns,28
Day 12,Task 1 - Amount of paths,,,,175666514.0,ns,32
Day 12,Task 1 - Amount of paths,,,,220764336.0,ns,36
Day 12,Task 1 - Amount of paths,,,,231745593.0,ns,40
Day 12,Task 1 - Amount of paths,,,,242937086.0,ns,44
Day 12,Task 1 - Amount of paths,,,,263654340.0,ns,48
Day 12,Task 1 - Amount of paths,,,,286514493.0,ns,52
Day 12,Task 1 - Amount of paths,,,,308060060.0,ns,56
Day 12,Task 1 - Amount of paths,,,,336211607.0,ns,60
Day 12,Task 1 - Amount of paths,,,,351357425.0,ns,64
Day 12,Task 1 - Amount of paths,,,,373650897.0,ns,68
Day 12,Task 1 - Amount of paths,,,,396303474.0,ns,72
Day 12,Task 1 - Amount of paths,,,,417445682.0,ns,76
Day 12,Task 1 - Amount of paths,,,,439897825.0,ns,80
