group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 12,Task 1 - Amount of paths,,,,11144677.0,ns,2
Day 12,Task 1 - Amount of paths,,,,22880381.0,ns,4
Day 12,Task 1 - Amount of paths,,,,33288596.0,ns,6
Day 12,Task 1 - Amount of paths,,,,44442660.0,ns,8
Day 12,Task 1 - Amount of paths,,,,55426103.0,ns,10
Day 12,Task 1 - Amount of paths,,,,67116464.0,ns,12
Day 12,Task 1 - Amount of paths,,,,78129937.0,ns,14
Day 12,Task 1 - Amount of paths,,,,88880455.0,ns,16
Day 12,Task 1 - Amount of paths,,,,100213621.0,ns,18
Day 12,Task 1 - Amount of paths,,,,114685730.0,ns,20
Day 12,Task 1 - Amount of paths,,,,122440417.0,ns,22
Day 12,Task 1 - Amount of paths,,,,133056614.0,ns,24
Day 12,Task 1 - Amount of paths,,,,144664112.0,ns,26
Day 12,Task 1 - Amount of paths,,,,155889806.0,ns,28
Day 12,Task 1 - Amount of paths,,,,166736764.0,ns,30
Day 12,Task 1 - Amount of paths,,,,178442846.0,ns,32
Day 12,Task 1 - Amount of paths,,,,188963015.0,ns,34
Day 12,Task 1 - Amount of paths,,,,200023211.0,ns,36
Day 12,Task 1 - Amount of paths,,,,212228133.0,ns,38
Day 12,Task 1 - Amount of paths,,,,222631506.0,ns,40
