group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 12,Task 2 - Amount of paths with repetitions,,,,168819570.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163886296.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164716037.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165075415.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163166613.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164401981.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163823364.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,168007076.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165162461.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,173985663.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163218218.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,167703873.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,168727184.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,166373647.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164365901.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163499824.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163524466.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163397914.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163719374.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163485511.0,ns,1
