group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 12,Task 2 - Amount of paths with repetitions,,,,163248365.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163974701.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164809003.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164317787.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163354200.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163730879.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163060074.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163295077.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163269206.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163251362.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163722951.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163557656.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163457522.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164089078.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163595343.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163425413.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164611570.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163455207.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163028514.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163046290.0,ns,1
