group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 13,Task 2 - Generate code,,,,36040181.0,ns,87
Day 13,Task 2 - Generate code,,,,72819606.0,ns,174
Day 13,Task 2 - Generate code,,,,107529498.0,ns,261
Day 13,Task 2 - Generate code,,,,143459800.0,ns,348
Day 13,Task 2 - Generate code,,,,179564185.0,ns,435
Day 13,Task 2 - Generate code,,,,215879926.0,ns,522
Day 13,Task 2 - Generate code,,,,252585872.0,ns,609
Day 13,Task 2 - Generate code,,,,287505170.0,ns,696
Day 13,Task 2 - Generate code,,,,322829200.0,ns,783
Day 13,Task 2 - Generate code,,,,360387374.0,ns,870
