group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 13,Task 2 - Generate code,,,,36304954.0,ns,88
Day 13,Task 2 - Generate code,,,,75886527.0,ns,176
Day 13,Task 2 - Generate code,,,,108880309.0,ns,264
Day 13,Task 2 - Generate code,,,,144807898.0,ns,352
Day 13,Task 2 - Generate code,,,,180968840.0,ns,440
Day 13,Task 2 - Generate code,,,,217113803.0,ns,528
Day 13,Task 2 - Generate code,,,,254852470.0,ns,616
Day 13,Task 2 - Generate code,,,,289920306.0,ns,704
Day 13,Task 2 - Generate code,,,,334124164.0,ns,792
Day 13,Task 2 - Generate code,,,,368819432.0,ns,880
