group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 14,Task 2 - Element counts after 40 steps,,,,37706952.0,ns,27
Day 14,Task 2 - Element counts after 40 steps,,,,74631225.0,ns,54
Day 14,Task 2 - Element counts after 40 steps,,,,111872050.0,ns,81
Day 14,Task 2 - Element counts after 40 steps,,,,148907640.0,ns,108
Day 14,Task 2 - Element counts after 40 steps,,,,186088279.0,ns,135
Day 14,Task 2 - Element counts after 40 steps,,,,222934823.0,ns,162
Day 14,Task 2 - Element counts after 40 steps,,,,260815643.0,ns,189
Day 14,Task 2 - Element counts after 40 steps,,,,298099166.0,ns,216
Day 14,Task 2 - Element counts after 40 steps,,,,335168080.0,ns,243
Day 14,Task 2 - Element counts after 40 steps,,,,372505920.0,ns,270
