group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 15,Task 2 - Lowest Total Risk (full map),,,,276137970.0,ns,1
Day 15,Task 2 - Lowest Total Risk (full map),,,,642710348.0,ns,1
Day 15,Task 2 - Lowest Total Risk (full map),,,,301298408.0,ns,1
Day 15,Task 2 - Lowest Total Risk (full map),,,,241447024.0,ns,1
Day 15,Task 2 - Lowest Total Risk (full map),,,,311047571.0,ns,1
Day 15,Task 2 - Lowest Total Risk (full map),,,,272917850.0,ns,1
Day 15,Task 2 - Lowest Total Risk (full map),,,,241247336.0,ns,1
Day 15,Task 2 - Lowest Total Risk (full map),,,,330687821.0,ns,1
Day 15,Task 2 - Lowest Total Risk (full map),,,,472554227.0,ns,1
Day 15,Task 2 - Lowest Total Risk (full map),,,,398796775.0,ns,1
