group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 16,Task 1 - Sum of version numbers,,,,36159599.0,ns,492
Day 16,Task 1 - Sum of version numbers,,,,72002551.0,ns,984
Day 16,Task 1 - Sum of version numbers,,,,106051172.0,ns,1476
Day 16,Task 1 - Sum of version numbers,,,,142020135.0,ns,1968
Day 16,Task 1 - Sum of version numbers,,,,177987682.0,ns,2460
Day 16,Task 1 - Sum of version numbers,,,,214465511.0,ns,2952
Day 16,Task 1 - Sum of version numbers,,,,248472856.0,ns,3444
Day 16,Task 1 - Sum of version numbers,,,,284990754.0,ns,3936
Day 16,Task 1 - Sum of version numbers,,,,319746470.0,ns,4428
Day 16,Task 1 - Sum of version numbers,,,,355486872.0,ns,4920
