group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 16,Task 2 - Expression tree evaluation,,,,35487296.0,ns,492
Day 16,Task 2 - Expression tree evaluation,,,,72868904.0,ns,984
Day 16,Task 2 - Expression tree evaluation,,,,107165169.0,ns,1476
Day 16,Task 2 - Expression tree evaluation,,,,143159624.0,ns,1968
Day 16,Task 2 - Expression tree evaluation,,,,178765494.0,ns,2460
Day 16,Task 2 - Expression tree evaluation,,,,214855240.0,ns,2952
Day 16,Task 2 - Expression tree evaluation,,,,250922977.0,ns,3444
Day 16,Task 2 - Expression tree evaluation,,,,286151050.0,ns,3936
Day 16,Task 2 - Expression tree evaluation,,,,322033402.0,ns,4428
Day 16,Task 2 - Expression tree evaluation,,,,359852418.0,ns,4920
