group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 17,Task 1 - Heighest shot,,,,123708625.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124125792.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123683706.0,ns,2
Day 17,Task 1 - Heighest shot,,,,136363567.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124437954.0,ns,2
Day 17,Task 1 - Heighest shot,,,,127861994.0,ns,2
Day 17,Task 1 - Heighest shot,,,,129104516.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124856485.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124032788.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124125992.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124234685.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123926284.0,ns,2
Day 17,Task 1 - Heighest shot,,,,125457110.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124027653.0,ns,2
Day 17,Task 1 - Heighest shot,,,,125070076.0,ns,2
Day 17,Task 1 - Heighest shot,,,,125363612.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123961527.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123876072.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123931172.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123717355.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124190945.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123883273.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123887427.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124543007.0,ns,2
Day 17,Task 1 - Heighest shot,,,,128836745.0,ns,2
Day 17,Task 1 - Heighest shot,,,,125068756.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123879113.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123762091.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124524625.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124139424.0,ns,2
