group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 17,Task 1 - Heighest shot,,,,124225664.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123471972.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124117597.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124120339.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123478575.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123546501.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124493929.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123736161.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123558464.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123444423.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123820875.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123528143.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123578047.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124011138.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124023068.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123612003.0,ns,2
Day 17,Task 1 - Heighest shot,,,,125309879.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124015585.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123582982.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124474165.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124141166.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123994989.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123940452.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123475367.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124400990.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124020803.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123538230.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124218338.0,ns,2
Day 17,Task 1 - Heighest shot,,,,123444574.0,ns,2
Day 17,Task 1 - Heighest shot,,,,124490758.0,ns,2
