group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 17,Task 2 - Amount of distinct velocities,,,,68789633.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68105039.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68127100.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67762438.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67998838.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,69913684.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,69022057.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67543417.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67658853.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68188946.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67952690.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68686680.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67900818.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67913518.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67849995.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68042115.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67988426.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67891574.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67907210.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67581909.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,69883729.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68329680.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,69732200.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67920989.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68937976.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,69508095.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67588810.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67918911.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,70940333.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67827834.0,ns,1
