group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 17,Task 2 - Amount of distinct velocities,,,,68682171.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68106754.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67667222.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68479904.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68027707.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68816227.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68404501.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67754637.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67660031.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67801458.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67982158.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68941945.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68025064.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68534805.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,69896285.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67795471.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68076444.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67939997.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68751966.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68000475.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68079532.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67842589.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67758650.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68370179.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,67910988.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68227269.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68327106.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68815251.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,68089173.0,ns,1
Day 17,Task 2 - Amount of distinct velocities,,,,69884178.0,ns,1
