group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 18,Task 2 - Largest sum between two Snailfish numbers,,,,38948010.0,ns,1
Day 18,Task 2 - Largest sum between two Snailfish numbers,,,,77075567.0,ns,2
Day 18,Task 2 - Largest sum between two Snailfish numbers,,,,115647040.0,ns,3
Day 18,Task 2 - Largest sum between two Snailfish numbers,,,,156466640.0,ns,4
Day 18,Task 2 - Largest sum between two Snailfish numbers,,,,192665642.0,ns,5
Day 18,Task 2 - Largest sum between two Snailfish numbers,,,,231095651.0,ns,6
Day 18,Task 2 - Largest sum between two Snailfish numbers,,,,270353411.0,ns,7
Day 18,Task 2 - Largest sum between two Snailfish numbers,,,,334396297.0,ns,8
Day 18,Task 2 - Largest sum between two Snailfish numbers,,,,458275444.0,ns,9
Day 18,Task 2 - Largest sum between two Snailfish numbers,,,,405913741.0,ns,10
