group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 19,Task 1 - Amount of beacons,,,,1044920666.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1052344468.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1054741544.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1041386577.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1046289871.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1043004757.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1051566705.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1043835325.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1044018405.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1042245942.0,ns,1
