group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 19,Task 1 - Amount of beacons,,,,1118898572.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1576324365.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1539378123.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1440322439.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1813882926.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1604350934.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1102420430.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1321018360.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1211485210.0,ns,1
Day 19,Task 1 - Amount of beacons,,,,1113778613.0,ns,1
