group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 19,Task 2 - Manhatten distance,,,,1151023907.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1362036840.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1335584357.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1329156945.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1109666822.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1410605061.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1407654913.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1350493820.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1203389544.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1452277545.0,ns,1
