group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 19,Task 2 - Manhatten distance,,,,1078337710.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1198962915.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1069465521.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1049610651.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1053410806.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1048398321.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1052800972.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1053499606.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1048553139.0,ns,1
Day 19,Task 2 - Manhatten distance,,,,1052084534.0,ns,1
