group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,226522868.0,ns,3
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,226479404.0,ns,3
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,227462404.0,ns,3
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,227788020.0,ns,3
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,226714753.0,ns,3
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,226821889.0,ns,3
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,227473731.0,ns,3
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,228255788.0,ns,3
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,228833589.0,ns,3
Day 20,Task 2 - Lit pixels after 50 enhancements,,,,227973215.0,ns,3
