group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 21,Task 1 - Deterministic die,,,,36158378.0,ns,2938
Day 21,Task 1 - Deterministic die,,,,72597519.0,ns,5876
Day 21,Task 1 - Deterministic die,,,,108666108.0,ns,8814
Day 21,Task 1 - Deterministic die,,,,144516159.0,ns,11752
Day 21,Task 1 - Deterministic die,,,,180480592.0,ns,14690
Day 21,Task 1 - Deterministic die,,,,218145763.0,ns,17628
Day 21,Task 1 - Deterministic die,,,,253404168.0,ns,20566
Day 21,Task 1 - Deterministic die,,,,290487724.0,ns,23504
Day 21,Task 1 - Deterministic die,,,,325031022.0,ns,26442
Day 21,Task 1 - Deterministic die,,,,363224857.0,ns,29380
