group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 22,Task 1 - Lit cubes in the initialization area,,,,328472646.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,327128199.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,329389432.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,327137644.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,328208874.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,328444573.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,327538981.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,328366287.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,331151465.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,329675820.0,ns,2
