group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 22,Task 1 - Lit cubes in the initialization area,,,,328336757.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,332105697.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,327848055.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,328466511.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,327547048.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,336009145.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,328706869.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,328303978.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,327678204.0,ns,2
Day 22,Task 1 - Lit cubes in the initialization area,,,,327969596.0,ns,2
