group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 22,Task 2 - Lit cubes in the whole domain,,,,489114023.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,489259375.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,497049532.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,504115799.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,496347312.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,509050643.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,497655774.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,492266308.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,501033888.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,511895680.0,ns,1
