group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 22,Task 2 - Lit cubes in the whole domain,,,,507360587.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,500857435.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,505391712.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,503229567.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,501944463.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,516750218.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,493777665.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,494411078.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,498355628.0,ns,1
Day 22,Task 2 - Lit cubes in the whole domain,,,,494320977.0,ns,1
