group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 23,Task 1 - Least amount of energy (small rooms),,,,37534749.0,ns,3
Day 23,Task 1 - Least amount of energy (small rooms),,,,75006920.0,ns,6
Day 23,Task 1 - Least amount of energy (small rooms),,,,112893832.0,ns,9
Day 23,Task 1 - Least amount of energy (small rooms),,,,150521898.0,ns,12
Day 23,Task 1 - Least amount of energy (small rooms),,,,188564710.0,ns,15
Day 23,Task 1 - Least amount of energy (small rooms),,,,224752547.0,ns,18
Day 23,Task 1 - Least amount of energy (small rooms),,,,264553943.0,ns,21
Day 23,Task 1 - Least amount of energy (small rooms),,,,309703407.0,ns,24
Day 23,Task 1 - Least amount of energy (small rooms),,,,339010934.0,ns,27
Day 23,Task 1 - Least amount of energy (small rooms),,,,375244958.0,ns,30
