group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 23,Task 1 - Least amount of energy (small rooms),,,,37268337.0,ns,3
Day 23,Task 1 - Least amount of energy (small rooms),,,,75533211.0,ns,6
Day 23,Task 1 - Least amount of energy (small rooms),,,,112701491.0,ns,9
Day 23,Task 1 - Least amount of energy (small rooms),,,,149773764.0,ns,12
Day 23,Task 1 - Least amount of energy (small rooms),,,,188679780.0,ns,15
Day 23,Task 1 - Least amount of energy (small rooms),,,,224421011.0,ns,18
Day 23,Task 1 - Least amount of energy (small rooms),,,,263953435.0,ns,21
Day 23,Task 1 - Least amount of energy (small rooms),,,,299003492.0,ns,24
Day 23,Task 1 - Least amount of energy (small rooms),,,,336967122.0,ns,27
Day 23,Task 1 - Least amount of energy (small rooms),,,,372738454.0,ns,30
