group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 23,Task 2 - Least amount of energy (large rooms),,,,65617000.0,ns,1
Day 23,Task 2 - Least amount of energy (large rooms),,,,133799849.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,275197286.0,ns,3
Day 23,Task 2 - Least amount of energy (large rooms),,,,233352945.0,ns,4
Day 23,Task 2 - Least amount of energy (large rooms),,,,310834774.0,ns,5
Day 23,Task 2 - Least amount of energy (large rooms),,,,400968033.0,ns,6
Day 23,Task 2 - Least amount of energy (large rooms),,,,492680499.0,ns,7
Day 23,Task 2 - Least amount of energy (large rooms),,,,679280640.0,ns,8
Day 23,Task 2 - Least amount of energy (large rooms),,,,630692522.0,ns,9
Day 23,Task 2 - Least amount of energy (large rooms),,,,581993275.0,ns,10
