group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 23,Task 2 - Least amount of energy (large rooms),,,,55954687.0,ns,1
Day 23,Task 2 - Least amount of energy (large rooms),,,,112645464.0,ns,2
Day 23,Task 2 - Least amount of energy (large rooms),,,,168999446.0,ns,3
Day 23,Task 2 - Least amount of energy (large rooms),,,,224905168.0,ns,4
Day 23,Task 2 - Least amount of energy (large rooms),,,,281375747.0,ns,5
Day 23,Task 2 - Least amount of energy (large rooms),,,,339287252.0,ns,6
Day 23,Task 2 - Least amount of energy (large rooms),,,,394530025.0,ns,7
Day 23,Task 2 - Least amount of energy (large rooms),,,,451687061.0,ns,8
Day 23,Task 2 - Least amount of energy (large rooms),,,,511324889.0,ns,9
Day 23,Task 2 - Least amount of energy (large rooms),,,,562675624.0,ns,10
