group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 24,Task 2 - Minimum Model number,,,,37843763.0,ns,2
Day 24,Task 2 - Minimum Model number,,,,74517746.0,ns,4
Day 24,Task 2 - Minimum Model number,,,,111982746.0,ns,6
Day 24,Task 2 - Minimum Model number,,,,149146435.0,ns,8
Day 24,Task 2 - Minimum Model number,,,,186570049.0,ns,10
Day 24,Task 2 - Minimum Model number,,,,223508790.0,ns,12
Day 24,Task 2 - Minimum Model number,,,,261749007.0,ns,14
Day 24,Task 2 - Minimum Model number,,,,301600678.0,ns,16
Day 24,Task 2 - Minimum Model number,,,,336130575.0,ns,18
Day 24,Task 2 - Minimum Model number,,,,373280007.0,ns,20
