group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 24,Task 2 - Minimum Model number,,,,38819832.0,ns,2
Day 24,Task 2 - Minimum Model number,,,,77121350.0,ns,4
Day 24,Task 2 - Minimum Model number,,,,116273364.0,ns,6
Day 24,Task 2 - Minimum Model number,,,,184121054.0,ns,8
Day 24,Task 2 - Minimum Model number,,,,250790717.0,ns,10
Day 24,Task 2 - Minimum Model number,,,,291378888.0,ns,12
Day 24,Task 2 - Minimum Model number,,,,298948935.0,ns,14
Day 24,Task 2 - Minimum Model number,,,,307633571.0,ns,16
Day 24,Task 2 - Minimum Model number,,,,351030198.0,ns,18
Day 24,Task 2 - Minimum Model number,,,,390018840.0,ns,20
