group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"Day 0, Task 1: Rust Template",,,,,1008861.0,ns,105
"Day 0, Task 1: Rust Template",,,,,2017295.0,ns,210
"Day 0, Task 1: Rust Template",,,,,2920408.0,ns,315
"Day 0, Task 1: Rust Template",,,,,3916329.0,ns,420
"Day 0, Task 1: Rust Template",,,,,4884804.0,ns,525
"Day 0, Task 1: Rust Template",,,,,6019686.0,ns,630
"Day 0, Task 1: Rust Template",,,,,6966984.0,ns,735
"Day 0, Task 1: Rust Template",,,,,8059770.0,ns,840
"Day 0, Task 1: Rust Template",,,,,9098689.0,ns,945
"Day 0, Task 1: Rust Template",,,,,10100564.0,ns,1050
"Day 0, Task 1: Rust Template",,,,,10908278.0,ns,1155
"Day 0, Task 1: Rust Template",,,,,12103949.0,ns,1260
"Day 0, Task 1: Rust Template",,,,,13252693.0,ns,1365
"Day 0, Task 1: Rust Template",,,,,13988815.0,ns,1470
"Day 0, Task 1: Rust Template",,,,,14942069.0,ns,1575
"Day 0, Task 1: Rust Template",,,,,15842610.0,ns,1680
"Day 0, Task 1: Rust Template",,,,,16741911.0,ns,1785
"Day 0, Task 1: Rust Template",,,,,17894643.0,ns,1890
"Day 0, Task 1: Rust Template",,,,,18866856.0,ns,1995
"Day 0, Task 1: Rust Template",,,,,20042336.0,ns,2100
"Day 0, Task 1: Rust Template",,,,,21012356.0,ns,2205
"Day 0, Task 1: Rust Template",,,,,22367171.0,ns,2310
"Day 0, Task 1: Rust Template",,,,,23120122.0,ns,2415
"Day 0, Task 1: Rust Template",,,,,23889836.0,ns,2520
"Day 0, Task 1: Rust Template",,,,,25010127.0,ns,2625
"Day 0, Task 1: Rust Template",,,,,25965491.0,ns,2730
"Day 0, Task 1: Rust Template",,,,,26755937.0,ns,2835
"Day 0, Task 1: Rust Template",,,,,27776525.0,ns,2940
"Day 0, Task 1: Rust Template",,,,,29253404.0,ns,3045
"Day 0, Task 1: Rust Template",,,,,29859652.0,ns,3150
"Day 0, Task 1: Rust Template",,,,,30705900.0,ns,3255
"Day 0, Task 1: Rust Template",,,,,32306537.0,ns,3360
"Day 0, Task 1: Rust Template",,,,,32946867.0,ns,3465
"Day 0, Task 1: Rust Template",,,,,33647606.0,ns,3570
"Day 0, Task 1: Rust Template",,,,,34692414.0,ns,3675
"Day 0, Task 1: Rust Template",,,,,36215426.0,ns,3780
"Day 0, Task 1: Rust Template",,,,,37330380.0,ns,3885
"Day 0, Task 1: Rust Template",,,,,37898076.0,ns,3990
"Day 0, Task 1: Rust Template",,,,,39268485.0,ns,4095
"Day 0, Task 1: Rust Template",,,,,40112176.0,ns,4200
"Day 0, Task 1: Rust Template",,,,,40421319.0,ns,4305
"Day 0, Task 1: Rust Template",,,,,41513475.0,ns,4410
"Day 0, Task 1: Rust Template",,,,,42840573.0,ns,4515
