group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"Day 0, Task 1: Rust Template",,,,,11116813.0,ns,1138
"Day 0, Task 1: Rust Template",,,,,21481702.0,ns,2276
"Day 0, Task 1: Rust Template",,,,,32101371.0,ns,3414
"Day 0, Task 1: Rust Template",,,,,42346159.0,ns,4552
"Day 0, Task 1: Rust Template",,,,,53200045.0,ns,5690
"Day 0, Task 1: Rust Template",,,,,64561558.0,ns,6828
"Day 0, Task 1: Rust Template",,,,,75988531.0,ns,7966
"Day 0, Task 1: Rust Template",,,,,86343107.0,ns,9104
"Day 0, Task 1: Rust Template",,,,,97133506.0,ns,10242
"Day 0, Task 1: Rust Template",,,,,107754754.0,ns,11380
"Day 0, Task 1: Rust Template",,,,,118488563.0,ns,12518
"Day 0, Task 1: Rust Template",,,,,128475802.0,ns,13656
"Day 0, Task 1: Rust Template",,,,,139940241.0,ns,14794
"Day 0, Task 1: Rust Template",,,,,150771834.0,ns,15932
"Day 0, Task 1: Rust Template",,,,,160352233.0,ns,17070
"Day 0, Task 1: Rust Template",,,,,171459204.0,ns,18208
"Day 0, Task 1: Rust Template",,,,,198444176.0,ns,19346
"Day 0, Task 1: Rust Template",,,,,197936694.0,ns,20484
"Day 0, Task 1: Rust Template",,,,,204564041.0,ns,21622
"Day 0, Task 1: Rust Template",,,,,214209591.0,ns,22760
"Day 0, Task 1: Rust Template",,,,,224952044.0,ns,23898
"Day 0, Task 1: Rust Template",,,,,234993242.0,ns,25036
"Day 0, Task 1: Rust Template",,,,,245779721.0,ns,26174
"Day 0, Task 1: Rust Template",,,,,255924833.0,ns,27312
"Day 0, Task 1: Rust Template",,,,,268202645.0,ns,28450
"Day 0, Task 1: Rust Template",,,,,279813563.0,ns,29588
"Day 0, Task 1: Rust Template",,,,,291556823.0,ns,30726
"Day 0, Task 1: Rust Template",,,,,299606319.0,ns,31864
"Day 0, Task 1: Rust Template",,,,,310820694.0,ns,33002
"Day 0, Task 1: Rust Template",,,,,323554004.0,ns,34140
