group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 00,Task 1 - Rust Template,,,,3127056.0,ns,330
Day 00,Task 1 - Rust Template,,,,6265275.0,ns,660
Day 00,Task 1 - Rust Template,,,,10206079.0,ns,990
Day 00,Task 1 - Rust Template,,,,12514336.0,ns,1320
Day 00,Task 1 - Rust Template,,,,15629340.0,ns,1650
Day 00,Task 1 - Rust Template,,,,19063369.0,ns,1980
Day 00,Task 1 - Rust Template,,,,21695460.0,ns,2310
Day 00,Task 1 - Rust Template,,,,24746294.0,ns,2640
Day 00,Task 1 - Rust Template,,,,27675832.0,ns,2970
Day 00,Task 1 - Rust Template,,,,30975878.0,ns,3300
Day 00,Task 1 - Rust Template,,,,43382965.0,ns,3630
Day 00,Task 1 - Rust Template,,,,36975975.0,ns,3960
Day 00,Task 1 - Rust Template,,,,40472625.0,ns,4290
Day 00,Task 1 - Rust Template,,,,44406586.0,ns,4620
Day 00,Task 1 - Rust Template,,,,53251757.0,ns,4950
Day 00,Task 1 - Rust Template,,,,50086061.0,ns,5280
Day 00,Task 1 - Rust Template,,,,57359124.0,ns,5610
Day 00,Task 1 - Rust Template,,,,56070246.0,ns,5940
Day 00,Task 1 - Rust Template,,,,59901427.0,ns,6270
Day 00,Task 1 - Rust Template,,,,63585387.0,ns,6600
Day 00,Task 1 - Rust Template,,,,65611675.0,ns,6930
Day 00,Task 1 - Rust Template,,,,68359226.0,ns,7260
Day 00,Task 1 - Rust Template,,,,72508221.0,ns,7590
Day 00,Task 1 - Rust Template,,,,75365595.0,ns,7920
Day 00,Task 1 - Rust Template,,,,78698936.0,ns,8250
Day 00,Task 1 - Rust Template,,,,81479665.0,ns,8580
Day 00,Task 1 - Rust Template,,,,84480847.0,ns,8910
Day 00,Task 1 - Rust Template,,,,87352226.0,ns,9240
Day 00,Task 1 - Rust Template,,,,90300204.0,ns,9570
Day 00,Task 1 - Rust Template,,,,93785639.0,ns,9900
Day 00,Task 1 - Rust Template,,,,96186216.0,ns,10230
Day 00,Task 1 - Rust Template,,,,99378565.0,ns,10560
Day 00,Task 1 - Rust Template,,,,102552977.0,ns,10890
Day 00,Task 1 - Rust Template,,,,105729148.0,ns,11220
Day 00,Task 1 - Rust Template,,,,109957647.0,ns,11550
Day 00,Task 1 - Rust Template,,,,113253097.0,ns,11880
Day 00,Task 1 - Rust Template,,,,114850856.0,ns,12210
Day 00,Task 1 - Rust Template,,,,117810981.0,ns,12540
Day 00,Task 1 - Rust Template,,,,121626905.0,ns,12870
Day 00,Task 1 - Rust Template,,,,124374110.0,ns,13200
Day 00,Task 1 - Rust Template,,,,127045436.0,ns,13530
Day 00,Task 1 - Rust Template,,,,130051549.0,ns,13860
Day 00,Task 1 - Rust Template,,,,133196843.0,ns,14190
Day 00,Task 1 - Rust Template,,,,137473559.0,ns,14520
Day 00,Task 1 - Rust Template,,,,140028291.0,ns,14850
Day 00,Task 1 - Rust Template,,,,143068332.0,ns,15180
Day 00,Task 1 - Rust Template,,,,145786640.0,ns,15510
Day 00,Task 1 - Rust Template,,,,153349693.0,ns,15840
Day 00,Task 1 - Rust Template,,,,151540436.0,ns,16170
Day 00,Task 1 - Rust Template,,,,155285257.0,ns,16500
