group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 00,Task 2 - Rust Template,,,,3142352.0,ns,333
Day 00,Task 2 - Rust Template,,,,6545855.0,ns,666
Day 00,Task 2 - Rust Template,,,,9563332.0,ns,999
Day 00,Task 2 - Rust Template,,,,12464822.0,ns,1332
Day 00,Task 2 - Rust Template,,,,15558286.0,ns,1665
Day 00,Task 2 - Rust Template,,,,18845114.0,ns,1998
Day 00,Task 2 - Rust Template,,,,22051824.0,ns,2331
Day 00,Task 2 - Rust Template,,,,24784377.0,ns,2664
Day 00,Task 2 - Rust Template,,,,28104247.0,ns,2997
Day 00,Task 2 - Rust Template,,,,31100064.0,ns,3330
Day 00,Task 2 - Rust Template,,,,34441594.0,ns,3663
Day 00,Task 2 - Rust Template,,,,37479526.0,ns,3996
Day 00,Task 2 - Rust Template,,,,40757941.0,ns,4329
Day 00,Task 2 - Rust Template,,,,43931384.0,ns,4662
Day 00,Task 2 - Rust Template,,,,47032945.0,ns,4995
Day 00,Task 2 - Rust Template,,,,50492983.0,ns,5328
Day 00,Task 2 - Rust Template,,,,53389613.0,ns,5661
Day 00,Task 2 - Rust Template,,,,56959179.0,ns,5994
Day 00,Task 2 - Rust Template,,,,59335839.0,ns,6327
Day 00,Task 2 - Rust Template,,,,62823861.0,ns,6660
Day 00,Task 2 - Rust Template,,,,65433209.0,ns,6993
Day 00,Task 2 - Rust Template,,,,69467094.0,ns,7326
Day 00,Task 2 - Rust Template,,,,72081935.0,ns,7659
Day 00,Task 2 - Rust Template,,,,75684208.0,ns,7992
Day 00,Task 2 - Rust Template,,,,80734264.0,ns,8325
Day 00,Task 2 - Rust Template,,,,81748898.0,ns,8658
Day 00,Task 2 - Rust Template,,,,84577928.0,ns,8991
Day 00,Task 2 - Rust Template,,,,97497183.0,ns,9324
Day 00,Task 2 - Rust Template,,,,94951888.0,ns,9657
Day 00,Task 2 - Rust Template,,,,123493095.0,ns,9990
Day 00,Task 2 - Rust Template,,,,115984406.0,ns,10323
Day 00,Task 2 - Rust Template,,,,115669798.0,ns,10656
Day 00,Task 2 - Rust Template,,,,110431050.0,ns,10989
Day 00,Task 2 - Rust Template,,,,106907618.0,ns,11322
Day 00,Task 2 - Rust Template,,,,109632543.0,ns,11655
Day 00,Task 2 - Rust Template,,,,112474654.0,ns,11988
Day 00,Task 2 - Rust Template,,,,115386151.0,ns,12321
Day 00,Task 2 - Rust Template,,,,119008618.0,ns,12654
Day 00,Task 2 - Rust Template,,,,122279576.0,ns,12987
Day 00,Task 2 - Rust Template,,,,124652136.0,ns,13320
Day 00,Task 2 - Rust Template,,,,127993373.0,ns,13653
Day 00,Task 2 - Rust Template,,,,131556658.0,ns,13986
Day 00,Task 2 - Rust Template,,,,135233501.0,ns,14319
Day 00,Task 2 - Rust Template,,,,137412850.0,ns,14652
Day 00,Task 2 - Rust Template,,,,142148545.0,ns,14985
Day 00,Task 2 - Rust Template,,,,143264768.0,ns,15318
Day 00,Task 2 - Rust Template,,,,147336856.0,ns,15651
Day 00,Task 2 - Rust Template,,,,152338658.0,ns,15984
Day 00,Task 2 - Rust Template,,,,153426088.0,ns,16317
Day 00,Task 2 - Rust Template,,,,157368806.0,ns,16650
