group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 01,Task 1 - Amount of increasing measurements,,,,3132311.0,ns,53
Day 01,Task 1 - Amount of increasing measurements,,,,6454501.0,ns,106
Day 01,Task 1 - Amount of increasing measurements,,,,9419775.0,ns,159
Day 01,Task 1 - Amount of increasing measurements,,,,12450282.0,ns,212
Day 01,Task 1 - Amount of increasing measurements,,,,15690133.0,ns,265
Day 01,Task 1 - Amount of increasing measurements,,,,18616638.0,ns,318
Day 01,Task 1 - Amount of increasing measurements,,,,21849661.0,ns,371
Day 01,Task 1 - Amount of increasing measurements,,,,24814629.0,ns,424
Day 01,Task 1 - Amount of increasing measurements,,,,28071425.0,ns,477
Day 01,Task 1 - Amount of increasing measurements,,,,32317001.0,ns,530
Day 01,Task 1 - Amount of increasing measurements,,,,36820793.0,ns,583
Day 01,Task 1 - Amount of increasing measurements,,,,37429764.0,ns,636
Day 01,Task 1 - Amount of increasing measurements,,,,40568670.0,ns,689
Day 01,Task 1 - Amount of increasing measurements,,,,43990464.0,ns,742
Day 01,Task 1 - Amount of increasing measurements,,,,47237369.0,ns,795
Day 01,Task 1 - Amount of increasing measurements,,,,49767919.0,ns,848
Day 01,Task 1 - Amount of increasing measurements,,,,53057059.0,ns,901
Day 01,Task 1 - Amount of increasing measurements,,,,56307870.0,ns,954
Day 01,Task 1 - Amount of increasing measurements,,,,59071943.0,ns,1007
Day 01,Task 1 - Amount of increasing measurements,,,,62359705.0,ns,1060
Day 01,Task 1 - Amount of increasing measurements,,,,65216169.0,ns,1113
Day 01,Task 1 - Amount of increasing measurements,,,,68484946.0,ns,1166
Day 01,Task 1 - Amount of increasing measurements,,,,72187902.0,ns,1219
Day 01,Task 1 - Amount of increasing measurements,,,,74757553.0,ns,1272
Day 01,Task 1 - Amount of increasing measurements,,,,77942418.0,ns,1325
Day 01,Task 1 - Amount of increasing measurements,,,,81145995.0,ns,1378
Day 01,Task 1 - Amount of increasing measurements,,,,84125326.0,ns,1431
Day 01,Task 1 - Amount of increasing measurements,,,,87371211.0,ns,1484
Day 01,Task 1 - Amount of increasing measurements,,,,90561812.0,ns,1537
Day 01,Task 1 - Amount of increasing measurements,,,,93519838.0,ns,1590
Day 01,Task 1 - Amount of increasing measurements,,,,96478440.0,ns,1643
Day 01,Task 1 - Amount of increasing measurements,,,,100206965.0,ns,1696
Day 01,Task 1 - Amount of increasing measurements,,,,102658791.0,ns,1749
Day 01,Task 1 - Amount of increasing measurements,,,,106201135.0,ns,1802
Day 01,Task 1 - Amount of increasing measurements,,,,108839282.0,ns,1855
Day 01,Task 1 - Amount of increasing measurements,,,,112226275.0,ns,1908
Day 01,Task 1 - Amount of increasing measurements,,,,114995313.0,ns,1961
Day 01,Task 1 - Amount of increasing measurements,,,,118322439.0,ns,2014
Day 01,Task 1 - Amount of increasing measurements,,,,121812160.0,ns,2067
Day 01,Task 1 - Amount of increasing measurements,,,,124391185.0,ns,2120
Day 01,Task 1 - Amount of increasing measurements,,,,127384159.0,ns,2173
Day 01,Task 1 - Amount of increasing measurements,,,,130782250.0,ns,2226
Day 01,Task 1 - Amount of increasing measurements,,,,134522190.0,ns,2279
Day 01,Task 1 - Amount of increasing measurements,,,,137261473.0,ns,2332
Day 01,Task 1 - Amount of increasing measurements,,,,140105761.0,ns,2385
Day 01,Task 1 - Amount of increasing measurements,,,,143437243.0,ns,2438
Day 01,Task 1 - Amount of increasing measurements,,,,146738819.0,ns,2491
Day 01,Task 1 - Amount of increasing measurements,,,,149285805.0,ns,2544
Day 01,Task 1 - Amount of increasing measurements,,,,152882280.0,ns,2597
Day 01,Task 1 - Amount of increasing measurements,,,,156687973.0,ns,2650
